,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
0, Akademicheskaia ,95000,10,walk,agency                    ,0,36,7.0,25.0,3,120.0,53.0,17.0
1, Dmitrovskaia ,38000,10,walk,realtor                    ,50,26,7.0,9.0,1,34.0,18.0,12.0
2, Novye Cheremushki ,70000,5,walk,agency                    ,50,663,9.0,17.0,2,60.0,32.0,12.0
3, Krasnopresnenskaia ,100000,3,walk,realtor                    ,0,2192,5.0,5.0,3,74.0,30.0,30.0
4, Domodedovskaia ,73000,17,walk,agency                    ,40,92,10.0,14.0,3,71.0,60.0,10.0
5, Taganskaia ,60000,10,walk,realtor                    ,50,995,3.0,5.0,3,75.0,48.0,12.0
6, Sukharevskaia ,185000,5,walk,agency                    ,0,92,7.0,9.0,3,79.0,50.0,12.0
7, Sukharevskaia ,185000,5,walk,agency                    ,0,100,8.0,9.0,3,76.0,49.0,12.0
8, Mitino ,50000,3,transport,agency                    ,0,540,4.0,4.0,3,85.0,66.0,15.0
9, Govorovo ,65000,6,walk,realtor                    ,50,3378,13.0,14.0,2,68.0,40.0,12.0
10, Baumanskaia ,80000,13,walk,agency                    ,50,154,5.0,8.0,2,50.0,30.0,6.0
11, Michurinskii prospekt ,150000,5,walk,realtor                    ,0,79,17.0,24.0,4,130.0,70.0,15.0
12, Khovrino ,47000,10,walk,realtor                    ,50,768,6.0,17.0,2,55.0,32.0,9.0
13, Planernaia ,39000,10,walk,realtor                    ,50,866,8.0,9.0,1,33.0,18.0,7.0
14, Planernaia ,35000,15,walk,realtor                    ,50,770,6.0,9.0,1,34.0,17.0,6.0
15, Riazanskii prospekt ,40000,5,walk,realtor                    ,50,480,9.0,12.0,1,35.0,20.0,10.0
16, VDNKh ,40000,5,transport,realtor                    ,50,391,10.0,16.0,1,35.0,19.0,10.0
17, Medvedkovo ,32000,15,walk,realtor                    ,50,515,1.0,12.0,1,38.0,19.0,7.0
18, Medvedkovo ,45000,10,walk,realtor                    ,50,295,3.0,9.0,2,45.0,30.0,6.0
19, Medvedkovo ,35000,10,walk,realtor                    ,50,259,9.0,14.0,1,39.0,18.0,10.0
20, Khovrino ,38000,7,walk,realtor                    ,50,263,6.0,9.0,1,33.0,17.0,6.0
21, Babushkinskaia ,60000,16,walk,agency                    ,70,162,5.0,5.0,3,60.0,38.0,6.0
22, Novye Cheremushki ,24000,5,walk,realtor                    ,40,227,2.0,17.0,1,39.0,21.0,11.0
23, Preobrazhenskaia ploshchad ,22000,5,walk,realtor                    ,50,113,3.0,9.0,1,48.0,22.0,11.0
24, Liublino ,26000,7,walk,realtor                    ,50,106,2.0,5.0,1,46.0,21.0,12.0
25, Ulitca 1905 goda ,26000,5,walk,realtor                    ,50,87,6.0,17.0,1,48.0,21.0,13.0
26, Pionerskaia ,80000,5,walk,realtor                    ,50,72,7.0,17.0,2,62.0,36.0,10.0
27, Skhodnenskaia ,37000,15,walk,realtor                    ,50,110,8.0,12.0,1,40.0,21.0,9.0
28, Petrovskii park ,30000,7,transport,realtor                    ,50,185,8.0,9.0,1,35.0,16.0,9.0
29, Altufevo ,165000,20,walk,realtor                    ,0,95,2.0,3.0,5,270.0,150.0,20.0
30, Izmailovskaia ,45000,15,walk,owner                 ,0,1508,5.0,5.0,2,50.0,30.0,7.0
31, Vykhino ,43000,10,walk,agency                    ,50,412,5.0,12.0,1,37.0,13.0,9.0
32, Vykhino ,45000,15,walk,agency                    ,50,1630,2.0,12.0,1,37.0,19.0,8.0
33, Molodezhnaia ,50000,10,walk,agency                    ,50,419,1.0,5.0,1,35.0,17.0,10.0
34, Tushinskaia ,65000,5,walk,realtor                    ,50,611,2.0,17.0,2,70.0,36.0,12.0
35, Vodnyi stadion ,60000,10,walk,realtor                    ,50,731,8.0,15.0,2,64.0,40.0,15.0
36, Planernaia ,45000,10,walk,realtor                    ,50,572,7.0,12.0,1,38.0,19.0,8.0
37, VDNKh ,50000,10,walk,realtor                    ,50,435,16.0,16.0,1,41.0,18.0,8.0
38, Alekseevskaia ,50000,3,walk,realtor                    ,50,542,5.0,12.0,1,33.0,19.0,5.0
39, Sviblovo ,40000,10,walk,realtor                    ,50,593,14.0,14.0,2,38.0,24.0,6.0
40, Sviblovo ,38000,15,walk,realtor                    ,50,493,3.0,5.0,1,67.1817770743839,67.18177707438392,67.18177707438392
41, Rimskaia ,55999,7,walk,realtor                    ,99,399,6.0,17.0,1,40.0,21.0,10.0
42, Okskaia ,59999,7,walk,realtor                    ,69,138,3.0,33.0,1,26.0,17.0,5.0
43, Voikovskaia ,55000,10,transport,owner                 ,0,21,3.0,17.0,2,55.0,28.0,12.0
44, Rasskazovka ,47000,15,walk,realtor                 ,30,77,22.0,22.0,1,40.0,23.0,9.0
45, Okhotnyi riad ,200000,8,walk,realtor                 ,0,70,10.0,13.0,2,70.0,57.0,12.0
46, Taganskaia ,60000,15,walk,realtor                 ,50,335,3.0,5.0,2,78.0,30.0,18.0
47, Solntcevo ,43000,10,walk,owner                 ,0,22,7.0,17.0,1,67.1817770743839,67.18177707438392,67.18177707438392
48, Michurinskii prospekt ,90000,10,walk,agency                 ,50,13,14.0,21.0,2,75.0,36.0,13.0
49, Piatnitckoe shosse ,40000,15,transport,owner                 ,0,18,5.0,17.0,2,55.0,45.0,10.0
50, Piatnitckoe shosse ,50000,25,transport,realtor                 ,50,298,9.0,17.0,3,87.0,61.0,6.0
